ID,Name,Origin,Period,Type,Description
A01,Aipan Art,Uttarkhand,1560,Painting,"Ancient style of painting depicting mostly Jain, Buddhist and Hindu themes. Often drawn during Pujas."
A02,Sattriya Miniature,Assam,1600,Miniature Painting,"Miniature outlines describing stories using water based paints made through tamarind seeds, agar leaf. Often depicted in Sanchipat."
A03,Tai Style Miniature,Assam,1600,Miniature Painting,"Miniature describing stories are drawn by using adhesives like tmarind seeds, agar leaf and latex. Uses text based on Sanchipat."
A04,Darrangi Miniature,Assam,1600,Miniature Painting,"Miniature describing stories  made through the usage of latex, tamarind seeds and agar. "
A05,Gadgayan Miniature,Assam,1600,Miniature Painting,"Based on Sanchipat, miniatures made using latex, tamarind seeds, agar, etc to describe stories."
A06,Bhil Painting,Madhya Pradesh,,Painting,"Stories, prayers, memories and traditions are painted onto plain backgrounds in a symphony of multihued dots."
A07,Kohbar,Uttar Pradesh,,Bhojpuri Painting,Bhojpuri painting depicting love and gratification.
A08,Pidhiya,Uttar Pradesh,,Bhojpuri Painting," Bhojpuri painting portraying assorted subjects such as gods, goddesses, animals, plants and flowers."
A09,Cheriyal Scroll,Telangana,,Scroll Painting,"Made by ragi dough shaped into scrolls. Hand painted with vegetable colors.Depicts scenes from the Ramayana, Mahabharata."
A10,Chittara Art,Karnataka,,Drawing,"Drawings are intricate patterns, that represent the auspicious ceremony and rituals of life, symbolized in geometric patterns.Made using rice paste and seeds."
A11,Chitrakathi Painting,Maharastra,1700,Painting,Painting themes depicting local versions of Ramayana and Mahabharata drawn in a brownish shade.
A12,Dokra Art,West Bengal,1600,Sculpture,Metal casting of sculpture through special clay.
A13,Kolam Floor Painting,Tamil Nadu,1500,Drawing,"Made with rice flour, depicts day to day life and pujas."
A14,Godna Painting,Chattisgarh,,Drawing,"Using natural colours derived from bark, leaf, flowers, and seeds to paint illustrations on the outside of houses and body parts."
A15,Gond Paintint,Madhya Pradesh,1400,Drawing,"Contour type painting of animals, birds and the environment in general."
